age,min_size,max_size,freq 2000/1,freq 2018
0,1,50,0,0
1,50,138.7628905,0,0
2,138.7628905,268.4767919,8,6
3,268.4767919,380.1225815,72,14
4,380.1225815,476.2170031,208,34
5,476.2170031,558.9262383,178,6
6,558.9262383,630.1147368,0,28
7,630.1147368,691.3872453,116,1
8,691.3872453,744.124982,0,7
9,744.124982,789.5167727,53,0
10,789.5167727,828.585849,0,1
11,828.585849,862.2129146,34,1
12,862.2129146,891.1559982,0,0
13,891.1559982,916.0675411,0,0
14,916.0675411,937.5091048,0,0
15,937.5091048,955.9640297,9,0
16,955.9640297,971.8483308,0,0
17,971.8483308,985.5200754,0,0
18,985.5200754,997.287455,0,0
19,997.287455,1007.415733,0,1
20,1007.415733,1016.133222,0,0
21,1016.133222,1023.636434,0,0
22,1023.636434,1030.094509,0,0
23,1030.094509,1035.653026,0,0
24,1035.653026,1040.437285,0,0
25,1040.437285,1044.555136,0,0
26,1044.555136,1048.099402,16,0
27,1048.099402,1051.149981,0,0
28,1051.149981,1000000,6,0
